"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"140",140,"PIT",2022-10-09,36,"Sun",5,5,"@","BUF","L 3-38",22,36,61.1,432,4,0,0,1,128.5
"141",141,"CHI",2022-10-09,42,"Sun",5,5,"@","MIN","L 22-29",33,42,78.6,312,1,1,7,1,95.6
"142",142,"LAR",2022-10-09,16,"Sun",5,5,NA,"DAL","L 10-22",10,16,62.5,76,0,3,26,0,74
"143",143,"HOU",2022-10-09,47,"Sun",5,5,"@","JAX","W 13-6",25,47,53.2,286,0,0,0,2,54
"144",144,"CIN",2022-10-09,32,"Sun",5,5,"@","BAL","L 17-19",19,32,59.4,170,1,1,4,1,71.1
"145",145,"CLE",2022-10-09,34,"Sun",5,5,NA,"LAC","L 28-30",22,34,64.7,227,1,1,1,0,93.6
"146",146,"PHI",2022-10-09,42,"Sun",5,5,"@","ARI","W 20-17",28,42,66.7,239,1,1,11,1,79.4
"147",147,"NYJ",2022-10-09,34,"Sun",5,5,NA,"MIA","W 40-17",19,34,55.9,158,0,2,8,1,55.8
"148",148,"SFO",2022-10-09,42,"Sun",5,5,"@","CAR","W 37-15",25,42,59.5,244,0,6,31,1,66
"149",149,"NOR",2022-10-09,25,"Sun",5,5,NA,"SEA","W 39-32",16,25,64,245,3,3,23,0,135.8
"150",150,"JAX",2022-10-09,24,"Sun",5,5,NA,"HOU","L 6-13",16,24,66.7,132,0,1,8,0,80.6
"151",151,"ARI",2022-10-09,36,"Sun",5,5,NA,"PHI","L 17-20",26,36,72.2,218,0,2,21,0,87.5
"152",152,"NYG",2022-10-09,39,"Sun",5,5,"@","GNB","W 27-22",25,39,64.1,207,2,2,15,0,94.7
"153",153,"DAL",2022-10-09,44,"Sun",5,5,"@","LAR","W 22-10",29,44,65.9,285,1,5,35,1,82.1
"154",154,"TEN",2022-10-09,38,"Sun",5,5,"@","WAS","W 21-17",25,38,65.8,342,2,3,17,1,101
"155",155,"WAS",2022-10-09,25,"Sun",5,5,NA,"TEN","L 17-21",15,25,60,136,1,5,45,0,88.1
"156",156,"NWE",2022-10-09,35,"Sun",5,5,NA,"DET","W 29-0",19,35,54.3,211,0,2,18,1,60.5
"157",157,"DET",2022-10-09,21,"Sun",5,5,"@","NWE","L 0-29",17,21,81,188,1,0,0,1,100
"158",158,"GNB",2022-10-09,27,"Sun",5,5,NA,"NYG","L 22-27",21,27,77.8,213,0,1,4,0,99.5
"159",159,"LVR",2022-10-10,43,"Mon",5,5,"@","KAN","L 29-30",29,43,67.4,265,4,3,27,0,115
"160",160,"KAN",2022-10-10,30,"Mon",5,5,NA,"LVR","W 30-29",19,30,63.3,223,2,2,18,0,108.1
"161",161,"CHI",2022-10-13,22,"Thu",6,6,NA,"WAS","L 7-12",12,22,54.5,86,0,3,13,0,63.8
"162",162,"WAS",2022-10-13,27,"Thu",6,6,"@","CHI","W 12-7",14,27,51.9,154,1,5,36,1,66
"163",163,"ATL",2022-10-16,41,"Sun",6,6,NA,"SFO","W 28-14",29,41,70.7,296,2,0,0,2,87
"164",164,"LAR",2022-10-16,21,"Sun",6,6,NA,"CAR","W 24-10",13,21,61.9,110,0,2,9,1,55.7
"165",165,"BUF",2022-10-16,40,"Sun",6,6,"@","KAN","W 24-20",25,40,62.5,319,2,3,19,2,83.2
"166",166,"CAR",2022-10-16,33,"Sun",6,6,"@","LAR","L 10-24",26,33,78.8,249,1,1,4,1,95.6
"167",167,"NYJ",2022-10-16,45,"Sun",6,6,"@","GNB","W 27-10",28,45,62.2,218,1,4,36,0,81.5
