"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Att...11","Yds","Y/A","TD"
"255",55,"HOU",2022-09-18,31,"Sun",2,2,"@","DEN","L 9-16",31,149,4.8,0
"256",56,"DET",2022-09-18,21,"Sun",2,2,NA,"WAS","W 36-27",21,88,4.2,1
"257",57,"NOR",2022-09-18,30,"Sun",2,2,NA,"TAM","L 10-20",30,72,2.4,0
"258",58,"MIA",2022-09-18,25,"Sun",2,2,"@","BAL","W 42-38",25,155,6.2,1
"259",59,"GNB",2022-09-18,27,"Sun",2,2,NA,"CHI","W 27-10",27,180,6.7,1
"260",60,"JAX",2022-09-18,13,"Sun",2,2,NA,"IND","W 24-0",13,54,4.2,0
"261",61,"BUF",2022-09-19,27,"Mon",2,2,NA,"TEN","W 41-7",27,80,3,1
"262",62,"MIN",2022-09-19,34,"Mon",2,2,"@","PHI","L 7-24",34,163,4.8,2
"263",63,"TEN",2022-09-19,24,"Mon",2,2,"@","BUF","L 7-41",24,101,4.2,0
"264",64,"PHI",2022-09-19,11,"Mon",2,2,NA,"MIN","W 24-7",11,62,5.6,0
"265",65,"CLE",2022-09-22,22,"Thu",3,3,NA,"PIT","W 29-17",22,104,4.7,2
